"","item","kind"
"1","fly","lnk"
"2","snail","lnk"
"3","osprey","lnk"
"4","shark","lnk"
"5","coyote","lnk"
"6","bat","lnk"
"7","turkey","lnk"
"8","dog","lnk"
"9","mineral","nlnk"
"10","desert","nlnk"
"11","valley","nlnk"
"12","river","nlnk"
"13","soil","nlnk"
"14","platinum","nlnk"
"15","lead","nlnk"
"16","oxygen","nlnk"
